URL,Brand,Item Type,Size,Price,Original Price,Material,Condition,Item ID
https://www.thredup.com/product/women-modal-american-apparel-brown-jumpsuit/119666908?query_id=622956317577658368&result_id=622956318101946368,American Apparel,Jumpsuit,Size S ,$21.11,$48,"72% Modal, 28% Polyester","This item is in excellent condition with only light signs of wear, if any.",Item #119666908
https://www.thredup.com/product/women-silk-lagence-brown-casual-dress/119732715?query_id=622956317577658368&result_id=622956318101946368,L'Agence,Casual Dress,Size Med (2) ,$73.59,$525,100% Silk,"This item is in excellent condition with only light signs of wear, if any.",Item #119732715
https://www.thredup.com/product/women-polyester-eliza-j-red-casual-dress/119594217?query_id=622956317577658368&result_id=622956318101946368,Eliza J,Casual Dress,Size 6 ,$25.83,$158,"68% Polyester, 30% Rayon, 2% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #119594217
https://www.thredup.com/product/women-polyester-forever-21-black-cocktail-dress/119608581?query_id=622956317577658368&result_id=622956318101946368,Forever 21,Cocktail Dress,Size M ,$13.75,$28,100% Polyester,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119608581
https://www.thredup.com/product/women-polyester-assorted-brands-green-casual-dress/119636428?query_id=622956317577658368&result_id=622956318101946368,Assorted Brands,Casual Dress,Size L ,$15.91,$48,100% Polyester,"This item is in excellent condition with only light signs of wear, if any.",Item #119636428
https://www.thredup.com/product/women-polyester-banana-republic-black-casual-dress/119763629?query_id=622956317577658368&result_id=622956318101946368,Banana Republic,Casual Dress,Size 12 ,$13.03,$70,100% Polyester,"This item is in excellent condition with only light signs of wear, if any.",Item #119763629
https://www.thredup.com/product/women-nylon-anthropologie-green-casual-dress/119563659?query_id=622956317577658368&result_id=622956318101946368,Anthropologie,Casual Dress,Size XL ,$46.39,$150,"39% Nylon, 36% Viscose, 21% Wool, 4% Alpaca","This item is in excellent condition with only light signs of wear, if any.",Item #119563659
https://www.thredup.com/product/women-polyester-vince-camuto-blue-casual-dress/119567077?query_id=622956317577658368&result_id=622956318101946368,Vince Camuto,Casual Dress,Size 2 ,$27.51,$95,100% Polyester,This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119567077
https://www.thredup.com/product/women-rayon-w-by-worth-black-jumpsuit/119169320?query_id=622956317577658368&result_id=622956318101946368,W by Worth,Jumpsuit,Size 4 ,$38.39,$214,"55% Rayon, 42% Polyester, 3% Elastane","This item is in excellent condition with only light signs of wear, if any.",Item #119169320
https://www.thredup.com/product/women-rayon-josephine-chaus-ivory-casual-dress/119176861?query_id=622956317577658368&result_id=622956318101946368,Josephine Chaus,Casual Dress,Size S ,$13.19,$60,"70% Rayon, 30% Polyester","This item is in excellent condition with only light signs of wear, if any.",Item #119176861
https://www.thredup.com/product/women-rayon-gap-gray-casual-dress/119606817?query_id=622956317577658368&result_id=622956318101946368,Gap,Casual Dress,Size M ,$16.47,$70,"87% Rayon, 8% Polyester, 5% Spandex",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119606817
https://www.thredup.com/product/women-cotton-say-what-white-casual-dress/119634453?query_id=622956317577658368&result_id=622956318101946368,Say What?,Casual Dress,Size L ,$11.75,$48,"70% Cotton, 30% Nylon",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119634453
https://www.thredup.com/product/women-silk-equipment-blue-casual-dress/118958978?query_id=622956317577658368&result_id=622956318101946368,Equipment,Casual Dress,Size XS ,$40.79,$270,100% Silk,"This item is in excellent condition with only light signs of wear, if any.",Item #118958978
https://www.thredup.com/product/women-viscose-beachlunchlounge-red-casual-dress/118600625?query_id=622956317577658368&result_id=622956318101946368,BeachLunchLounge,Casual Dress,Size S ,$12.47,$60,100% Viscose,"This item is in excellent condition with only light signs of wear, if any.",Item #118600625
https://www.thredup.com/product/women-modal-topshop-brown-casual-dress/119763422?query_id=622956317577658368&result_id=622956318101946368,Topshop,Casual Dress,Size 10 ,$17.99,$72,"61% Modal, 39% Polyester",This item is in good condition with minor signs of wear: minor wear on fabric.,Item #119763422
https://www.thredup.com/product/women-polyester-forever-21-tan-casual-dress/119031874?query_id=622956317577658368&result_id=622956318101946368,Forever 21,Casual Dress,Size L ,$12.63,$25,100% Polyester,"This item is in good condition with minor signs of wear: minor stain, minor wear on fabric.",Item #119031874
https://www.thredup.com/product/women-polyester-tweed-black-casual-dress/119549265?query_id=622956317577658368&result_id=622956318101946368,Tweed,Casual Dress,Size XS ,$17.19,$71,"95% Polyester, 5% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #119549265
https://www.thredup.com/product/women-bcbgeneration-white-romper/119622827?query_id=622956317577658368&result_id=622956318101946368,BCBGeneration,Romper,Size M ,$22.63,$98,Material unknown,"This item is in excellent condition with only light signs of wear, if any.",Item #119622827
https://www.thredup.com/product/women-polyester-bisou-bisou-black-cocktail-dress/119634872?query_id=622956317577658368&result_id=622956318101946368,Bisou Bisou,Cocktail Dress,Size 4 ,$17.59,$89,"95% Polyester, 5% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #119634872
https://www.thredup.com/product/women-polyester-aidan-mattox-maroon-cocktail-dress/119663291?query_id=622956317577658368&result_id=622956318101946368,Aidan Mattox,Cocktail Dress,Size 8 ,$71.99,$395,100% Polyester,"This item is in excellent condition with only light signs of wear, if any.",Item #119663291
https://www.thredup.com/product/women-polyester-ann-taylor-loft-blue-casual-dress/119604766?query_id=622956317577658368&result_id=622956318101946368,Ann Taylor LOFT,Casual Dress,Size 6 ,$20.23,$70,100% Polyester,"This item is in excellent condition with only light signs of wear, if any.",Item #119604766
https://www.thredup.com/product/women-polyester-maggy-london-black-casual-dress/119706910?query_id=622956317577658368&result_id=622956318101946368,Maggy London,Casual Dress,Size 10 ,$26.07,$143,"71% Polyester, 26% Cotton, 3% Spandex","This item is in excellent condition with only light signs of wear, if any.",Item #119706910
https://www.thredup.com/product/women-pima-cotton-lilly-pulitzer-blue-casual-dress/119403941?query_id=622956317577658368&result_id=622956318101946368,Lilly Pulitzer,Casual Dress,Size S ,$34.39,$143,100% Pima Cotton,"This item is in excellent condition with only light signs of wear, if any.",Item #119403941
https://www.thredup.com/product/women-cotton-universal-thread-black-casual-dress/120379812?query_id=622956317577658368&result_id=622956318101946368,Universal Thread,Casual Dress,Size M ,,$24,100% Cotton,"This item is in excellent condition with only light signs of wear, if any.",Item #120379812
